"","Name","House","Sentence"
"108","Harry James Potter","Gryffindor","Hey Ron! Somebody broke into Gringotts."
"109","Harry James Potter","Gryffindor","Listen."
"110","Harry James Potter","Gryffindor","Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken."
"111","Harry James Potter","Gryffindor","The vault in question, number 713, had, in fact, been emptied earlier that very same day."""""
"112","Harry James Potter","Gryffindor","That's odd."
"113","Harry James Potter","Gryffindor","That's the vault Hagrid and I went to."
"114","Harry James Potter","Gryffindor","Give it here, Malfoy."
"115","Harry James Potter","Gryffindor","Give it here or I'll knock you off your broom!"
"116","Harry James Potter","Gryffindor","A century, according to McGonagall."
"117","Harry James Potter","Gryffindor","But I've never even played Quidditch."
"118","Harry James Potter","Gryffindor","What if I make a fool of myself?"
"119","Harry James Potter","Gryffindor","I-I didn't know."
"120","Harry James Potter","Gryffindor","Who doesn't?"
"121","Harry James Potter","Gryffindor","What's happening?"
"122","Harry James Potter","Gryffindor","Let's go this way."
"123","Harry James Potter","Gryffindor","Let's go."
"124","Harry James Potter","Gryffindor","Run! Quick, let's hide through that door!"
"125","Harry James Potter","Gryffindor","It's locked!"
"126","Harry James Potter","Gryffindor","And for good reason."
"127","Harry James Potter","Gryffindor","Guarding something?"
"128","Harry James Potter","Gryffindor","I think so."
"129","Harry James Potter","Gryffindor","What are those?"
"130","Harry James Potter","Gryffindor","What was that?"
"131","Harry James Potter","Gryffindor","I like this ball."
"132","Harry James Potter","Gryffindor","What do I do with it?"
"133","Harry James Potter","Gryffindor","Whoa."
"134","Harry James Potter","Gryffindor","I think we're going to need another feather over here, Professor."
"135","Harry James Potter","Gryffindor","I think she heard you."
"136","Harry James Potter","Gryffindor","Where's Hermione?"
"137","Harry James Potter","Gryffindor","How could a troll get in?"
"138","Harry James Potter","Gryffindor","Hermione!"
"139","Harry James Potter","Gryffindor","She doesn't know!"
"140","Harry James Potter","Gryffindor","It's going into the Girl's Bathroom!"
"141","Harry James Potter","Gryffindor","Hermione, move!"
"142","Harry James Potter","Gryffindor","Whooa! Whoa, whoa!"
"143","Harry James Potter","Gryffindor","Do something!"
"144","Harry James Potter","Gryffindor","Anything!"
"145","Harry James Potter","Gryffindor","Hurry up!"
"146","Harry James Potter","Gryffindor","I don't think so."
"147","Harry James Potter","Gryffindor","Just knocked out."
"148","Harry James Potter","Gryffindor","Ew. Troll bogies."
"149","Harry James Potter","Gryffindor","Good of you to get us out of trouble like that."
"150","Harry James Potter","Gryffindor","Mind you, she might not have needed saving if you hadn't insulted her."
"151","Harry James Potter","Gryffindor","I'm not hungry."
"152","Harry James Potter","Gryffindor","That explains the blood."
"153","Harry James Potter","Gryffindor","Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog."
"154","Harry James Potter","Gryffindor","But, he got himself bitten, that's why he's limping."
"155","Harry James Potter","Gryffindor","The day I was at Gringotts, Hagrid took something out of one of the vaults."
"156","Harry James Potter","Gryffindor","He said it was Hogwarts' business, very secret."
"157","Harry James Potter","Gryffindor","That's what the dog's guarding."
"158","Harry James Potter","Gryffindor","That's what Snape wants."
"159","Harry James Potter","Gryffindor","But I-I never get mail."
"160","Harry James Potter","Gryffindor","It's a broomstick!"
"161","Harry James Potter","Gryffindor","But who...?"
"162","Harry James Potter","Gryffindor","A little."
"163","Harry James Potter","Gryffindor","What happened?"
"164","Harry James Potter","Gryffindor","Yes! Whoa!"
"165","Harry James Potter","Gryffindor","Yes!"
"166","Harry James Potter","Gryffindor","Whoa! Whooa!"
"167","Harry James Potter","Gryffindor","Who knows."
"168","Harry James Potter","Gryffindor","Why was he trying to get past that 3 headed dog on Halloween?"
"169","Harry James Potter","Gryffindor","Yes?"
"170","Harry James Potter","Gryffindor","But Hagrid, whatever Fluffy's guarding, Snape's trying to steal it!"
"171","Harry James Potter","Gryffindor","Exactly."
"172","Harry James Potter","Gryffindor","Nicholas Flamel?"
"173","Harry James Potter","Gryffindor","Nicholas Flamel...Who's Nicholas Flamel?"
"174","Harry James Potter","Gryffindor","Knight to E-5."
"175","Harry James Potter","Gryffindor","Happy Christmas, Ron."
"176","Harry James Potter","Gryffindor","What are you wearing?"
"177","Harry James Potter","Gryffindor","I've got presents?"
"178","Harry James Potter","Gryffindor","Oh!"
"179","Harry James Potter","Gryffindor","Your father left this in my possession before he died."
"180","Harry James Potter","Gryffindor","It is time it was returned to you."
"181","Harry James Potter","Gryffindor","Use it well."
"182","Harry James Potter","Gryffindor","Some kind of...cloak."
"183","Harry James Potter","Gryffindor","My body's gone!"
"184","Harry James Potter","Gryffindor","I'm invisible??"
"185","Harry James Potter","Gryffindor","There was no name."
"186","Harry James Potter","Gryffindor","It just said, """"Use it well."""""
"187","Harry James Potter","Gryffindor","Famous fire eaters..."
"188","Harry James Potter","Gryffindor","15th Century Fiends...Flamel..."
"189","Harry James Potter","Gryffindor","Nicholas Flamel...where are you?"
"190","Harry James Potter","Gryffindor","Mum? Dad?"
"191","Harry James Potter","Gryffindor","Ron! You've really got to see this!"
"192","Harry James Potter","Gryffindor","Ron! You've got to see this!"
"193","Harry James Potter","Gryffindor","Ron, Ron, come on. Get out of bed!"
"194","Harry James Potter","Gryffindor","There's something you've got to see."
"195","Harry James Potter","Gryffindor","Now, come on!"
"196","Harry James Potter","Gryffindor","Come on. Come. Come look, it's my parents!"
"197","Harry James Potter","Gryffindor","Look in properly. Go on."
"198","Harry James Potter","Gryffindor","Stand there. There."
"199","Harry James Potter","Gryffindor","You see them, don't you?"
"200","Harry James Potter","Gryffindor","Thats my dad"
"201","Harry James Potter","Gryffindor","How can it?"
"202","Harry James Potter","Gryffindor","Both my parents are dead."
"203","Harry James Potter","Gryffindor","No."
"204","Harry James Potter","Gryffindor","No."
"205","Harry James Potter","Gryffindor","So, then it shows us what we want?"
"206","Harry James Potter","Gryffindor","Whatever we want?"
"207","Harry James Potter","Gryffindor","Malfoy."
"208","Harry James Potter","Gryffindor","I found him!"
"209","Harry James Potter","Gryffindor","Go on!"
"210","Harry James Potter","Gryffindor","I knew the name sound familiar."
"211","Harry James Potter","Gryffindor","I read it on the train that day."
"212","Harry James Potter","Gryffindor","Shh!"
"213","Harry James Potter","Gryffindor","Hagrid!"
"214","Harry James Potter","Gryffindor","We think Snape's trying to steal it."
"215","Harry James Potter","Gryffindor","Hagrid, we know he's after the Stone."
"216","Harry James Potter","Gryffindor","We just don't know why."
"217","Harry James Potter","Gryffindor","What?"
"218","Harry James Potter","Gryffindor","Wait a minute."
"219","Harry James Potter","Gryffindor","One of the teachers?"
"220","Harry James Potter","Gryffindor","Uh, Hagrid, what exactly is that?"
"221","Harry James Potter","Gryffindor","Norbert?"
"222","Harry James Potter","Gryffindor","Malfoy."
"223","Harry James Potter","Gryffindor","Hagrid always wanted a dragon."
"224","Harry James Potter","Gryffindor","He told me so the first time I met him."
"225","Harry James Potter","Gryffindor","I don't understand."
"226","Harry James Potter","Gryffindor","50?!"
"227","Harry James Potter","Gryffindor","Hagrid, what's that?"
"228","Harry James Potter","Gryffindor","If I didn't know better, Draco, I'd say you were scared."
"229","Harry James Potter","Gryffindor","What is it, Fang?"
"230","Harry James Potter","Gryffindor","But what was that thing you saved me from?"
"231","Harry James Potter","Gryffindor","But who would choose such a life?"
"232","Harry James Potter","Gryffindor","Do you mean to say...that that thing that killed the unicorn..."
"233","Harry James Potter","Gryffindor","that was drinking its blood...that was Voldemort?"
"234","Harry James Potter","Gryffindor","The Sorcerer's Stone."
"235","Harry James Potter","Gryffindor","But he's weak."
"236","Harry James Potter","Gryffindor","He's living off the unicorns."
"237","Harry James Potter","Gryffindor","Don't you see? We had it wrong."
"238","Harry James Potter","Gryffindor","Snape doesn't want the stone for himself, he wants the stone for Voldemort."
"239","Harry James Potter","Gryffindor","With the Elixir of Life, Voldemort will be strong again."
"240","Harry James Potter","Gryffindor","He'll He'll come back."
"241","Harry James Potter","Gryffindor","I think if he'd had the chance, he might have tried to kill me tonight."
"242","Harry James Potter","Gryffindor","My scar. It keeps burning."
"243","Harry James Potter","Gryffindor","Not like this."
"244","Harry James Potter","Gryffindor","I think it's a warning."
"245","Harry James Potter","Gryffindor","It means dangers coming. Uhh!"
"246","Harry James Potter","Gryffindor","Oh. Of course!"
"247","Harry James Potter","Gryffindor","Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one?"
"248","Harry James Potter","Gryffindor","I mean, how many people wander around with dragon eggs in their pockets?"
"249","Harry James Potter","Gryffindor","Why didn't I see it before?"
"250","Harry James Potter","Gryffindor","Hagrid, who gave you the dragon egg?"
"251","Harry James Potter","Gryffindor","What did he look like?"
"252","Harry James Potter","Gryffindor","The stranger, though, you and he must have talked."
"253","Harry James Potter","Gryffindor","And did he seem interested in Fluffy?"
"254","Harry James Potter","Gryffindor","We have to see Professor Dumbledore, immediately!"
"255","Harry James Potter","Gryffindor","He's gone?! Now?"
"256","Harry James Potter","Gryffindor","But this is important!"
"257","Harry James Potter","Gryffindor","It's about...the Sorcerer's Stone."
"258","Harry James Potter","Gryffindor","Someone's going to try and steal it."
"259","Harry James Potter","Gryffindor","That was no stranger Hagrid met in the village."
"260","Harry James Potter","Gryffindor","It was Snape, which means he knows how to get past Fluffy."
"261","Harry James Potter","Gryffindor","We go down the trapdoor. Tonight."
"262","Harry James Potter","Gryffindor","Trevor."
"263","Harry James Potter","Gryffindor","Now, Neville, listen. We were"
"264","Harry James Potter","Gryffindor","Let's go. Sorry."
"265","Harry James Potter","Gryffindor","Snoring"
"266","Harry James Potter","Gryffindor","Snape's already been here."
"267","Harry James Potter","Gryffindor","He's put a spell on the harp."
"268","Harry James Potter","Gryffindor","We have to move its paw."
"269","Harry James Potter","Gryffindor","Come on! Okay. Push!"
"270","Harry James Potter","Gryffindor","I'll go first."
"271","Harry James Potter","Gryffindor","Don't follow until I give you a sign."
"272","Harry James Potter","Gryffindor","If something bad happens, get yourselves out…"
"273","Harry James Potter","Gryffindor","Does it seem a bit...quiet to you?"
"274","Harry James Potter","Gryffindor","Jump! Go!"
"275","Harry James Potter","Gryffindor","Whoa! Oh. Ahh!"
"276","Harry James Potter","Gryffindor","Hermione! Where are you?!"
"277","Harry James Potter","Gryffindor","Yeah, yeah, I'm fine."
"278","Harry James Potter","Gryffindor","Apparently not."
"279","Harry James Potter","Gryffindor","What?"
"280","Harry James Potter","Gryffindor","Ron, are you okay?"
"281","Harry James Potter","Gryffindor","Okay."
"282","Harry James Potter","Gryffindor","Lucky Hermione pays attention in Herbology."
"283","Harry James Potter","Gryffindor","I don't know."
"284","Harry James Potter","Gryffindor","Sounds like wings."
"285","Harry James Potter","Gryffindor","They're not birds, they're keys."
"286","Harry James Potter","Gryffindor","And I'll bet one of them fits that door."
"287","Harry James Potter","Gryffindor","I don't know. Strange."
"288","Harry James Potter","Gryffindor","There! I see it!"
"289","Harry James Potter","Gryffindor","The one with the broken wing!"
"290","Harry James Potter","Gryffindor","It's too simple."
"291","Harry James Potter","Gryffindor","Catch the key!"
"292","Harry James Potter","Gryffindor","Where are we? A graveyard."
"293","Harry James Potter","Gryffindor","There's the door."
"294","Harry James Potter","Gryffindor","Wait a minute."
"295","Harry James Potter","Gryffindor","No, Ron! No!"
"296","Harry James Potter","Gryffindor","He's going to sacrifice himself!"
"297","Harry James Potter","Gryffindor","RON!"
"298","Harry James Potter","Gryffindor","NO! Don't move! Dont forget, we're still playing."
"299","Harry James Potter","Gryffindor","Checkmate."
"300","Harry James Potter","Gryffindor","Take care of Ron. Then, go to the owlery."
"301","Harry James Potter","Gryffindor","Send a message to Dumbledore."
"302","Harry James Potter","Gryffindor","Ron's right...I have to go on."
"303","Harry James Potter","Gryffindor","Not as good as you."
"304","Harry James Potter","Gryffindor","You? No. It can't be...Snape. He was the one"
"305","Harry James Potter","Gryffindor","B-but, that day, during the Quidditch Match, Snape tried to kill me."
"306","Harry James Potter","Gryffindor","Snape was trying to...save me?"
"307","Harry James Potter","Gryffindor","Th-then you let the troll in."
"308","Harry James Potter","Gryffindor","I-I'm shaking hands with Dumbledore."
"309","Harry James Potter","Gryffindor","I've won the house cup."
"310","Harry James Potter","Gryffindor","Voldemort."
"311","Harry James Potter","Gryffindor","Never!"
"312","Harry James Potter","Gryffindor","You liar!"
"313","Harry James Potter","Gryffindor","Ahhhhhhhhh!"
"314","Harry James Potter","Gryffindor","Admirers?"
"315","Harry James Potter","Gryffindor","Ron was here?"
"316","Harry James Potter","Gryffindor","Is he all right?"
"317","Harry James Potter","Gryffindor","What about Hermione?"
"318","Harry James Potter","Gryffindor","But, what happened to the Stone?"
"319","Harry James Potter","Gryffindor","But Flamel, he'll die, won't he?"
"320","Harry James Potter","Gryffindor","How is it I got the Stone, sir?"
"321","Harry James Potter","Gryffindor","One minute I was staring in the mirror, and the next..."
"322","Harry James Potter","Gryffindor","Does that mean, with the Stone gone, I mean, that Voldemort can never come back?"
"323","Harry James Potter","Gryffindor","What is it?"
"324","Harry James Potter","Gryffindor","All right there, Ron?"
"325","Harry James Potter","Gryffindor","All right. Hermione?"
"326","Harry James Potter","Gryffindor","Good job."
"327","Harry James Potter","Gryffindor","One minute."
"328","Harry James Potter","Gryffindor","Thanks, Hagrid."
"329","Harry James Potter","Gryffindor","But Hagrid, we're not allowed to do magic away from Hogwarts. You know that."
"330","Harry James Potter","Gryffindor","I'm not going home. Not really."
"331","Ronald Bilius Weasley","Gryffindor","Excuse me. Do you mind?"
"332","Ronald Bilius Weasley","Gryffindor","Everywhere else is full."
"333","Ronald Bilius Weasley","Gryffindor","I'm Ron, by the way."
"334","Ronald Bilius Weasley","Gryffindor","Ron Weasley."
"335","Ronald Bilius Weasley","Gryffindor","So it's true!"
"336","Ronald Bilius Weasley","Gryffindor","I mean, do you really have the...?"
"337","Ronald Bilius Weasley","Gryffindor","The scar?"
"338","Ronald Bilius Weasley","Gryffindor","Wicked!"
"339","Ronald Bilius Weasley","Gryffindor","No, thanks. I'm all set."
"340","Ronald Bilius Weasley","Gryffindor","They mean every flavor."
"341","Ronald Bilius Weasley","Gryffindor","There's chocolate and peppermint and there's also spinach, liver and tripe."
"342","Ronald Bilius Weasley","Gryffindor","George sweared he got a bogey-flavoured one once!"
"343","Ronald Bilius Weasley","Gryffindor","It's just a spell."
"344","Ronald Bilius Weasley","Gryffindor","Besides, It's the cards you want."
"345","Ronald Bilius Weasley","Gryffindor","Each pack's got a famous witch or wizard."
"346","Ronald Bilius Weasley","Gryffindor","I've got about 500 myself."
"347","Ronald Bilius Weasley","Gryffindor","Watch it!"
"348","Ronald Bilius Weasley","Gryffindor","Oh, that's rotten luck."
"349","Ronald Bilius Weasley","Gryffindor","They've only got one good jump in them to begin with."
"350","Ronald Bilius Weasley","Gryffindor","I got about six of him."
"351","Ronald Bilius Weasley","Gryffindor","Well, you can't expect him to hang around all day, can you?"
"352","Ronald Bilius Weasley","Gryffindor","This is Scabbers, by the way."
"353","Ronald Bilius Weasley","Gryffindor","Pathetic, isn't he?"
"354","Ronald Bilius Weasley","Gryffindor","Fred gave me a spell as to turn him yellow."
"355","Ronald Bilius Weasley","Gryffindor","Want to see?"
"356","Ronald Bilius Weasley","Gryffindor","No."
"357","Ronald Bilius Weasley","Gryffindor","Sunshine, daisies, butter mellow."
"358","Ronald Bilius Weasley","Gryffindor","Turn this stupid fat rat yellow."
"359","Ronald Bilius Weasley","Gryffindor","I'm Ron Weasley."
"360","Ronald Bilius Weasley","Gryffindor","Wicked."
"361","Ronald Bilius Weasley","Gryffindor","Mental, that one, I'm telling you."
"362","Ronald Bilius Weasley","Gryffindor","There isn't a witch or wizard who went bad who wasn't in Slytherin."
"363","Ronald Bilius Weasley","Gryffindor","Harry, what is it?"
"364","Ronald Bilius Weasley","Gryffindor","I know you."
"365","Ronald Bilius Weasley","Gryffindor","You're Nearly Headless Nick."
"366","Ronald Bilius Weasley","Gryffindor","Look at that one."
"367","Ronald Bilius Weasley","Gryffindor","Made it!"
"368","Ronald Bilius Weasley","Gryffindor","Can you imagine the look on old McGonagall's face if we were late?"
"369","Ronald Bilius Weasley","Gryffindor","That was bloody brilliant!"
"370","Ronald Bilius Weasley","Gryffindor","Turn it into rum."
"371","Ronald Bilius Weasley","Gryffindor","Actually managed a weak tea yesterday, before..."
"372","Ronald Bilius Weasley","Gryffindor","Mail's here."
"373","Ronald Bilius Weasley","Gryffindor","Up. Up!"
"374","Ronald Bilius Weasley","Gryffindor","Shut up, Harry."
"375","Ronald Bilius Weasley","Gryffindor","Seeker?"
"376","Ronald Bilius Weasley","Gryffindor","But first years never make their house teams!"
"377","Ronald Bilius Weasley","Gryffindor","You must be the youngest Quidditch player in"
"378","Ronald Bilius Weasley","Gryffindor","Fred and George are on the team, too."
"379","Ronald Bilius Weasley","Gryffindor","Beaters."
"380","Ronald Bilius Weasley","Gryffindor","Oh, go on, Harry,"
"381","Ronald Bilius Weasley","Gryffindor","Quidditch is great."
"382","Ronald Bilius Weasley","Gryffindor","Best game there is!"
"383","Ronald Bilius Weasley","Gryffindor","And you'll be great, too!"
"384","Ronald Bilius Weasley","Gryffindor","Whoa."
"385","Ronald Bilius Weasley","Gryffindor","Harry, you never told me your father was a Seeker, too."
"386","Ronald Bilius Weasley","Gryffindor","I'm telling you, it's spooky."
"387","Ronald Bilius Weasley","Gryffindor","She knows more about you than you do."
"388","Ronald Bilius Weasley","Gryffindor","Ahh!"
"389","Ronald Bilius Weasley","Gryffindor","Before the staircase moves again."
"390","Ronald Bilius Weasley","Gryffindor","Does anybody feel like...we shouldn't be here?"
"391","Ronald Bilius Weasley","Gryffindor","It's Filch's cat!"
"392","Ronald Bilius Weasley","Gryffindor","That's it, we're done for!"
"393","Ronald Bilius Weasley","Gryffindor","Alohomora?"
"394","Ronald Bilius Weasley","Gryffindor","Probably thinks this door's locked."
"395","Ronald Bilius Weasley","Gryffindor","What do they think they're doing??"
"396","Ronald Bilius Weasley","Gryffindor","Keeping a thing like that locked up in a school."
"397","Ronald Bilius Weasley","Gryffindor","I wasn't looking at its feet!"
"398","Ronald Bilius Weasley","Gryffindor","I was a bit preoccupied with its heads."
"399","Ronald Bilius Weasley","Gryffindor","Or maybe you didn't notice, there were three!"
"400","Ronald Bilius Weasley","Gryffindor","She needs to sort out her priorities!"
"401","Ronald Bilius Weasley","Gryffindor","Wingardrium Leviosar."
"402","Ronald Bilius Weasley","Gryffindor","You do it then if you're so clever."
"403","Ronald Bilius Weasley","Gryffindor","Go on, go on."
"404","Ronald Bilius Weasley","Gryffindor","It's Leviosa, not Leviosar."
"405","Ronald Bilius Weasley","Gryffindor","Honestly, she's a nightmare."
"406","Ronald Bilius Weasley","Gryffindor","No wonder she hasn't got any friends!"
"407","Ronald Bilius Weasley","Gryffindor","Not by itself."
"408","Ronald Bilius Weasley","Gryffindor","Trolls are really stupid."
"409","Ronald Bilius Weasley","Gryffindor","Probably people playing jokes."
"410","Ronald Bilius Weasley","Gryffindor","What?"
"411","Ronald Bilius Weasley","Gryffindor","I think the troll's left the dungeon."
"412","Ronald Bilius Weasley","Gryffindor","Hey, pea brain!"
"413","Ronald Bilius Weasley","Gryffindor","What?"
"414","Ronald Bilius Weasley","Gryffindor","Wingardium Leviosa!"
"415","Ronald Bilius Weasley","Gryffindor","Cool!"
"416","Ronald Bilius Weasley","Gryffindor","Mind you, we did save her life."
"417","Ronald Bilius Weasley","Gryffindor","What are friends for?"
"418","Ronald Bilius Weasley","Gryffindor","Take a bit of toast, mate. Go on."
"419","Ronald Bilius Weasley","Gryffindor","Let's open it."
"420","Ronald Bilius Weasley","Gryffindor","Thats not just a broomstick, Harry."
"421","Ronald Bilius Weasley","Gryffindor","It's a Nimbus 2000!"
"422","Ronald Bilius Weasley","Gryffindor","Jinxing the broom?"
"423","Ronald Bilius Weasley","Gryffindor","What do we do?"
"424","Ronald Bilius Weasley","Gryffindor","Come on, Hermione!"
"425","Ronald Bilius Weasley","Gryffindor","Go!"
"426","Ronald Bilius Weasley","Gryffindor","Fluffy?"
"427","Ronald Bilius Weasley","Gryffindor","Queen to E-5."
"428","Ronald Bilius Weasley","Gryffindor","That's wizard's chess."
"429","Ronald Bilius Weasley","Gryffindor","I see you've packed."
"430","Ronald Bilius Weasley","Gryffindor","Change of plans."
"431","Ronald Bilius Weasley","Gryffindor","My parents decided to go to Romania to visit my brother, Charlie."
"432","Ronald Bilius Weasley","Gryffindor","He's studying dragons there!"
"433","Ronald Bilius Weasley","Gryffindor","We've looked a hundred times!"
"434","Ronald Bilius Weasley","Gryffindor","I think we've had a bad influence on her."
"435","Ronald Bilius Weasley","Gryffindor","Harry, wake up!"
"436","Ronald Bilius Weasley","Gryffindor","Come on Harry, wake up!"
"437","Ronald Bilius Weasley","Gryffindor","Happy Christmas, Harry."
"438","Ronald Bilius Weasley","Gryffindor","Oh, Mum made it."
"439","Ronald Bilius Weasley","Gryffindor","Looks like you've got one too!"
"440","Ronald Bilius Weasley","Gryffindor","Yeah!"
"441","Ronald Bilius Weasley","Gryffindor","There they are."
"442","Ronald Bilius Weasley","Gryffindor","What is it?"
"443","Ronald Bilius Weasley","Gryffindor","Well, let's see then."
"444","Ronald Bilius Weasley","Gryffindor","Put it on."
"445","Ronald Bilius Weasley","Gryffindor","Whoa!"
